,fix_hash,bug_hash,Y,bug_repo,fix_repo,bug_index,fix_index
0,e2f7f90e00a57ba024652686aab53feb47947181,a022320ef9777badddd290653876f5d09bb377a6,1,apache-hbase,apache-hbase,173915,173689
1,9039e79ec21b4f23766eafc698ceb7d465633a90,55afbc46756696a6d763bc280811a0cf67e7c236,1,apache-hbase,apache-hbase,173922,173673
2,56497da881ec90ab2c676e6fa3e07b138c710919,07413e2fb722d7157f322670bedde19a4ef17cf9,1,apache-hbase,apache-hbase,173926,173655
3,fbc67df8b7ef2b1a82bb701a7111baaa607ad138,2e13c047ab34bd6a60b1c05c35fec782aed32aca,1,apache-hbase,apache-hbase,175136,173622
4,6eab8932c828547fc9e051459c88fbd22541909f,1c078c3aadc3a7d3a69062cc00d7eceb15e357f3,1,apache-hbase,apache-hbase,173824,173557
5,6eab8932c828547fc9e051459c88fbd22541909f,1b3748a994eafc8edd60f4714aefc5feaa36d5eb,1,apache-hbase,apache-hbase,173727,173557
6,6eab8932c828547fc9e051459c88fbd22541909f,ea3b8028c94b56521890d24129c7b630dbc57bf7,1,apache-hbase,apache-hbase,174087,173557
7,49d5f14dd6f683b2777017449fdb171f68fd59fd,1c078c3aadc3a7d3a69062cc00d7eceb15e357f3,1,apache-hbase,apache-hbase,173824,173315
8,49d5f14dd6f683b2777017449fdb171f68fd59fd,5dccb9751cfc107562b8d0ebe6b210251701a29b,1,apache-hbase,apache-hbase,173366,173315
9,49d5f14dd6f683b2777017449fdb171f68fd59fd,0db51718ced91fa0b1bcfef2b906596f8383fb94,1,apache-hbase,apache-hbase,173754,173315
10,49d5f14dd6f683b2777017449fdb171f68fd59fd,2ca35347f3424c9c3bad52ea14b08ed5e0ed3422,1,apache-hbase,apache-hbase,174123,173315
11,86335c9fb2587613d01c926308bbdb00db1fb562,1b3748a994eafc8edd60f4714aefc5feaa36d5eb,1,apache-hbase,apache-hbase,173727,173464
12,685d6093b0bd8a1e3f6be20aa5dbbf4d4d30d0ab,52d79981c6d03249e13b4a24d09769e2b84a1179,1,apache-hbase,apache-hbase,173921,173539
13,11999bd2b38b58d2509a21afc78be55ed5bd82c8,31cd01f656bc0f011ad53525dd3909cecae0326b,1,apache-hbase,apache-hbase,174619,173524
14,961b0938cbea7b0a926325d27fe2f5211921b60f,3fcb6f3e69e8a9d572b7cc59649dff15ff901fce,1,apache-hbase,apache-hbase,174472,173493
15,961b0938cbea7b0a926325d27fe2f5211921b60f,e50c404aca679b113a70f52f76a0d96c6ac944f2,1,apache-hbase,apache-hbase,174025,173493
16,df5fcf64458316772cb4270c95107dd5989d6d23,3fcb6f3e69e8a9d572b7cc59649dff15ff901fce,1,apache-hbase,apache-hbase,174472,172273
17,df5fcf64458316772cb4270c95107dd5989d6d23,961b0938cbea7b0a926325d27fe2f5211921b60f,1,apache-hbase,apache-hbase,173493,172273
18,d460886eb16fddb23780e54f28fb26b3eb9dd191,225fb345f69e95afefe5233c1d845ec55481a08d,1,apache-hbase,apache-hbase,173791,173486
19,4503dbe136d193ca5cde96fb1476d6b901b67606,5e4aa0830fe0fe22fd16f4fdf57d2d52b54b1662,1,apache-hbase,apache-hbase,173490,173459
20,f60e26e77178a34e87c8e5c6d907f70a18207801,8439231fe78fdc5b7c8ffd2efa8c70333709d20f,1,apache-hbase,apache-hbase,174269,173458
21,b1c1873abebbdd4059ed715721f44d6a0b419f85,a9482a23820a74328703d558189af1407b134204,1,apache-hbase,apache-hbase,173679,173443
22,6baf69a7579c67a6f0ef91ec6f009ddbafb9f572,a84c14f3e46cf604eb7dff5857649668ec2a9cdc,1,apache-hbase,apache-hbase,173487,173447
23,40c45392b362d5abffe1dd59506964297eea5a20,f60e26e77178a34e87c8e5c6d907f70a18207801,1,apache-hbase,apache-hbase,173458,173413
24,6b626b5e5d531af2c4f9b7cad401c28fd7db87b0,19823394735254b84c7ab2be5ce2835fa51f3c8c,1,apache-hbase,apache-hbase,173378,173383
25,147e0054fd5c9cb391570b3178e2c597640a1004,19823394735254b84c7ab2be5ce2835fa51f3c8c,1,apache-hbase,apache-hbase,173378,171731
26,147e0054fd5c9cb391570b3178e2c597640a1004,cacce6c5f69a6d3e0d7bc01697db6ca1a1468455,1,apache-hbase,apache-hbase,173752,171731
27,147e0054fd5c9cb391570b3178e2c597640a1004,ef0421d85632817266dc7ccc7edf068785ed0eee,1,apache-hbase,apache-hbase,173297,171731
28,013fd99d0dd0df30e0bb7fcb98e41cd1633319cb,14b68ca4c0b21ced1f4ff2bc484e9b2c0f1a17cb,1,apache-hbase,apache-hbase,173324,173318
29,e6db59ae2b435fb589ed8c7c0a79e747bdb08737,b6ccf3081ae0b7c093ec763db5ee686b755a4a44,1,apache-hbase,apache-hbase,174649,173279
30,e6db59ae2b435fb589ed8c7c0a79e747bdb08737,f8046be7088be6c176699541d7c5269693a72952,1,apache-hbase,apache-hbase,174418,173279
31,7bb6f3839c8837f009d4dc0552d41a7b266654d2,f8046be7088be6c176699541d7c5269693a72952,1,apache-hbase,apache-hbase,174418,172853
32,8d2b2830830793776a6756779188d3df6c0062a3,3f3e2c575620d78c1df34b15a1c4815f16dfb1ee,1,apache-hbase,apache-hbase,175419,173285
33,ad771c741b2a3d89a7a1b68734c0942b701076f8,4479b081abfdcb11dde34ba4843c068bd329f667,1,apache-hbase,apache-hbase,174035,173281
34,8e870fa13ef4e90faf8754b7d6b2922c007496c2,0d8fdd93782d3cd75271a4c99528bedc3abf8c0e,1,apache-hbase,apache-hbase,174588,173247
35,64c6a071d7d2ea1dd1827b0241f30615c0e8f082,cc956afc207464a39393de28253b3adc5a7379bd,1,apache-hbase,apache-hbase,173368,173242
36,64c6a071d7d2ea1dd1827b0241f30615c0e8f082,baa1af5683c025330d6346c6e3b24d40de719531,1,apache-hbase,apache-hbase,174940,173242
37,650b6cea53c02d31e088cb357817ca8469cb3da8,0abcfa0ed70db2a3ffc0b26237a774bb6ee30b0d,1,apache-hbase,apache-hbase,173228,173238
38,24ee53c9c41e5ffb57e61e4a9f38535e57e57628,493ccf01e879e2323b11daa876fc90b62d192d13,1,apache-hbase,apache-hbase,173229,173223
39,3181d96ec864a467d4259e31c64f2b7554afc3d4,52249bc3aa53158e0bc7e79a873ac581b033f0aa,1,apache-hbase,apache-hbase,173626,173211
40,71f2632f646050c923964c4517cf29de758cc25b,5e65d6ee2f1a300cccd1354f7a59f27b2c57100c,1,apache-hbase,apache-hbase,173686,173204
41,71f2632f646050c923964c4517cf29de758cc25b,49d5f14dd6f683b2777017449fdb171f68fd59fd,1,apache-hbase,apache-hbase,173315,173204
42,98a6a203c0630e63ba497211308240aebb708c67,0beea3751b66efbc5cc87cf2b6c52ca9b3b4778c,1,apache-hbase,apache-hbase,173192,173189
